id;gouvernement;code_fonction;prenom;nom;fonction;date_debut_fonction;date_fin_fonction
51;Michel Debré;PM;Michel;Debré;Premier ministre;jeudi 8 janvier 1959;samedi 14 avril 1962
51;Michel Debré;ME;André;Malraux;Ministre d'État;jeudi 8 janvier 1959;mercredi 22 juillet 1959
51;Michel Debré;ME;Félix;Houphouët-Boigny;Ministre d'État;jeudi 8 janvier 1959;mercredi 20 mai 1959
51;Michel Debré;ME;Louis;Jacquinot;Ministre d'État;jeudi 8 janvier 1959;jeudi 24 août 1961
51;Michel Debré;ME;Robert;Lecourt;Ministre d'État;jeudi 8 janvier 1959;vendredi 27 mars 1959
51;Michel Debré;M;Edmond;Michelet;Garde des sceaux, ministre de la justice;jeudi 8 janvier 1959;jeudi 24 août 1961
51;Michel Debré;M;Pierre;Sudreau;Ministre de la construction;jeudi 8 janvier 1959;samedi 14 avril 1962
51;Michel Debré;M;Bernard;Chenot;Ministre de la santé publique et de la population;jeudi 8 janvier 1959;jeudi 24 août 1961
51;Michel Debré;M;Roger;Houdet;Ministre de l'agriculture;jeudi 8 janvier 1959;jeudi 28 mai 1959
51;Michel Debré;M;André;Boulloche;Ministre de l'éducation nationale;jeudi 8 janvier 1959;mercredi 23 décembre 1959
51;Michel Debré;M;Jean-Marcel;Jeanneney;Ministre de l'industrie et du commerce;jeudi 8 janvier 1959;mardi 17 novembre 1959
51;Michel Debré;M;Roger;Frey;Ministre de l'information;jeudi 8 janvier 1959;lundi 15 février 1960
51;Michel Debré;M;Jean;Berthoin;Ministre de l'intérieur;jeudi 8 janvier 1959;jeudi 28 mai 1959
51;Michel Debré;M;Maurice;Couve de Murville;Ministre des affaires étrangères;jeudi 8 janvier 1959;samedi 14 avril 1962
51;Michel Debré;M;Raymond;Triboulet;Ministre des anciens combattants;jeudi 8 janvier 1959;samedi 14 avril 1962
51;Michel Debré;M;Pierre;Guillaumat;Ministre des armées;jeudi 8 janvier 1959;lundi 15 février 1960
51;Michel Debré;M;Antoine;Pinay;Ministre des finances et des affaires économiques;jeudi 8 janvier 1959;mercredi 13 janvier 1960
51;Michel Debré;M;Bernard;Cornut-Gentille;Ministre des postes et télécommunications;jeudi 8 janvier 1959;lundi 15 février 1960
51;Michel Debré;M;Robert;Buron;Ministre des travaux publics et des transports;jeudi 8 janvier 1959;samedi 14 avril 1962
51;Michel Debré;M;Paul;Bacon;Ministre du travail;jeudi 8 janvier 1959;samedi 14 avril 1962
51;Michel Debré;MD;Jacques;Soustelle;Ministre délégué auprès du Premier ministre;jeudi 8 janvier 1959;vendredi 13 février 1959
51;Michel Debré;SE;Joseph;Fontanet;Secrétaire d'État à l'industrie et au commerce;jeudi 8 janvier 1959;samedi 24 janvier 1959
51;Michel Debré;SE;Michel;Maurice-Bokanowski;Secrétaire d'État à l'intérieur;jeudi 8 janvier 1959;lundi 15 février 1960
51;Michel Debré;SE;Nafissa;Sid Cara;Secrétaire d'État auprès du Premier ministre;jeudi 8 janvier 1959;vendredi 23 janvier 1959
51;Michel Debré;SE;Pierre;Chatenet;Secrétaire d'État auprès du Premier ministre;jeudi 8 janvier 1959;samedi 24 janvier 1959
51;Michel Debré;SE;Max;Fléchet;Secrétaire d'État aux affaires économiques;jeudi 8 janvier 1959;mardi 17 novembre 1959
51;Michel Debré;SE;Valéry;Giscard d'Estaing;Secrétaire d'État aux finances;jeudi 8 janvier 1959;jeudi 22 janvier 1959
51;Michel Debré;SE;Valéry;Giscard d'Estaing;Secrétaire d'État aux finances, chargé du budget;jeudi 22 janvier 1959;jeudi 18 janvier 1962
51;Michel Debré;SE;Nafissa;Sid Cara;Secrétaire d'État auprès du Premier ministre, chargée des questions sociales dans les départements d'Algérie, des Oasis et de la Saoura et de l'évolution du statut personnel du droit musulman;vendredi 23 janvier 1959;samedi 14 avril 1962
51;Michel Debré;SE;Pierre;Chatenet;Secrétaire d'État auprès du Premier ministre, chargé de la mise en place des institutions nouvelles et des problèmes d'administration générale;samedi 24 janvier 1959;jeudi 28 mai 1959
51;Michel Debré;SE;Joseph;Fontanet;Secrétaire d'État aux affaires économiques, chargé du commerce intérieur et de l'artisanat;samedi 24 janvier 1959;mardi 17 novembre 1959
51;Michel Debré;MD;Jacques;Soustelle;Ministre délégué auprès du Premier ministre, chargé du Sahara, des territoires d'outre-mer, départements d'outre-mer et de l'énergie atomique;vendredi 13 février 1959;lundi 15 février 1960
51;Michel Debré;ME;Robert;Lecourt;Ministre d'État, chargé de la coopération;vendredi 27 mars 1959;samedi 14 avril 1962
51;Michel Debré;M;Henri;Rochereau;Ministre de l'agriculture;jeudi 28 mai 1959;jeudi 24 août 1961
51;Michel Debré;M;Pierre;Chatenet;Ministre de l'intérieur;jeudi 28 mai 1959;samedi 6 mai 1961
51;Michel Debré;ME;André;Malraux;Ministre d'État, chargé des affaires culturelles;mercredi 22 juillet 1959;samedi 14 avril 1962
51;Michel Debré;MC;Félix;Houphouët-Boigny;Ministre conseiller;jeudi 23 juillet 1959;vendredi 19 mai 1961
51;Michel Debré;MC;Gabriel;Lisette;Ministre conseiller;jeudi 23 juillet 1959;vendredi 19 mai 1961
51;Michel Debré;MC;Léopold;Sédar Senghor;Ministre conseiller;jeudi 23 juillet 1959;vendredi 19 mai 1961
51;Michel Debré;MC;Philibert;Tsiranana;Ministre conseiller;jeudi 23 juillet 1959;vendredi 19 mai 1961
51;Michel Debré;SE;Louis;Joxe;Secrétaire d'État auprès du Premier ministre, chargé de la fonction publique;vendredi 24 juillet 1959;vendredi 15 janvier 1960
51;Michel Debré;M;Jean-Marcel;Jeanneney;Ministre de l'industrie;mardi 17 novembre 1959;samedi 14 avril 1962
51;Michel Debré;SE;Joseph;Fontanet;Secrétaire d'État au commerce intérieur;mardi 17 novembre 1959;jeudi 24 août 1961
51;Michel Debré;SE;Max;Fléchet;Secrétaire d'État aux affaires économiques extérieures;mardi 17 novembre 1959;mardi 19 janvier 1960
51;Michel Debré;PM;Michel;Debré;Premier ministre, Ministre de l'éducation national par intérim;mercredi 23 décembre 1959;vendredi 15 janvier 1960
